Libellé;reg;type;age;nbsej;DMS;;;;;;;;;;;;
Languedoc-Roussillon;77;2;17;4012;0;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;2;17;10066;0;;;;;;;;;;;;
Corse;94;2;17;313;0;;;;;;;;;;;;
Guadeloupe;1;2;17;722;0;;;;;;;;;;;;
Martinique;2;2;17;485;0;;;;;;;;;;;;
Guyane;3;2;17;799;0;;;;;;;;;;;;
Réunion;4;2;17;2574;0;;;;;;;;;;;;
Mayotte;6;2;17;178;0;;;;;;;;;;;;
Ile-de-France;11;2;26;216761;0;;;;;;;;;;;;
Champagne-Ardenne;44;2;26;17940;0;;;;;;;;;;;;
Picardie;31;2;26;21862;0;;;;;;;;;;;;
Haute-Normandie;29;2;26;20579;0;;;;;;;;;;;;
Centre;24;2;26;23223;0;;;;;;;;;;;;
Basse-Normandie;28;2;26;17098;0;;;;;;;;;;;;
Bourgogne;26;2;26;16033;0;;;;;;;;;;;;
Nord-Pas-de-Calais;32;2;26;55395;0;;;;;;;;;;;;
Lorraine;45;2;26;28614;0;;;;;;;;;;;;
Alsace;46;2;26;40056;0;;;;;;;;;;;;
Franche-Comté;27;2;26;13022;0;;;;;;;;;;;;
Pays-de-Loire;52;2;26;49439;0;;;;;;;;;;;;
Bretagne;53;2;26;43218;0;;;;;;;;;;;;
Poitou-Charentes;75;2;26;17515;0;;;;;;;;;;;;
Aquitaine;73;2;26;40797;0;;;;;;;;;;;;
Midi-Pyrénées;76;2;26;34053;0;;;;;;;;;;;;
Limousin;74;2;26;10294;0;;;;;;;;;;;;
Rhône-Alpes;84;2;26;78707;0;;;;;;;;;;;;
Auvergne;85;2;26;13968;0;;;;;;;;;;;;
Languedoc-Roussillon;77;2;26;30659;0;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;2;26;74679;0;;;;;;;;;;;;
Corse;94;2;26;3626;0;;;;;;;;;;;;
Guadeloupe;1;2;26;10484;0;;;;;;;;;;;;
Martinique;2;2;26;6952;0;;;;;;;;;;;;
Guyane;3;2;26;4047;0;;;;;;;;;;;;
Réunion;4;2;26;12770;0;;;;;;;;;;;;
Mayotte;6;2;26;1726;0;;;;;;;;;;;;
Ile-de-France;11;2;46;252879;0;;;;;;;;;;;;
Champagne-Ardenne;44;2;46;22156;0;;;;;;;;;;;;
Picardie;31;2;46;30115;0;;;;;;;;;;;;
Haute-Normandie;29;2;46;29789;0;;;;;;;;;;;;
Centre;24;2;46;35286;0;;;;;;;;;;;;
Basse-Normandie;28;2;46;25288;0;;;;;;;;;;;;
Bourgogne;26;2;46;26671;0;;;;;;;;;;;;
Nord-Pas-de-Calais;32;2;46;75001;0;;;;;;;;;;;;
Lorraine;45;2;46;39706;0;;;;;;;;;;;;
Alsace;46;2;46;54609;0;;;;;;;;;;;;
Franche-Comté;27;2;46;19241;0;;;;;;;;;;;;
Pays-de-Loire;52;2;46;73646;0;;;;;;;;;;;;
Bretagne;53;2;46;65632;0;;;;;;;;;;;;
Poitou-Charentes;75;2;46;28611;0;;;;;;;;;;;;
Aquitaine;73;2;46;58731;0;;;;;;;;;;;;
Midi-Pyrénées;76;2;46;47329;0;;;;;;;;;;;;
Limousin;74;2;46;15664;0;;;;;;;;;;;;
Rhône-Alpes;84;2;46;102958;0;;;;;;;;;;;;
Auvergne;85;2;46;25293;0;;;;;;;;;;;;
Languedoc-Roussillon;77;2;46;46593;0;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;2;46;109802;0;;;;;;;;;;;;
Corse;94;2;46;4451;0;;;;;;;;;;;;
Guadeloupe;1;2;46;19278;0;;;;;;;;;;;;
Martinique;2;2;46;12267;0;;;;;;;;;;;;
Guyane;3;2;46;4165;0;;;;;;;;;;;;
Réunion;4;2;46;19783;0;;;;;;;;;;;;
Mayotte;6;2;46;1849;0;;;;;;;;;;;;
Ile-de-France;11;2;56;662805;0;;;;;;;;;;;;
Champagne-Ardenne;44;2;56;65309;0;;;;;;;;;;;;
Picardie;31;2;56;92447;0;;;;;;;;;;;;
Haute-Normandie;29;2;56;88445;0;;;;;;;;;;;;
Centre;24;2;56;114339;0;;;;;;;;;;;;
Basse-Normandie;28;2;56;81447;0;;;;;;;;;;;;
Bourgogne;26;2;56;82143;0;;;;;;;;;;;;
Nord-Pas-de-Calais;32;2;56;224482;0;;;;;;;;;;;;
Lorraine;45;2;56;124738;0;;;;;;;;;;;;
Alsace;46;2;56;151520;0;;;;;;;;;;;;
Franche-Comté;27;2;56;58683;0;;;;;;;;;;;;
Pays-de-Loire;52;2;56;208842;0;;;;;;;;;;;;
Bretagne;53;2;56;201082;0;;;;;;;;;;;;
Poitou-Charentes;75;2;56;86119;0;;;;;;;;;;;;
Aquitaine;73;2;56;165792;0;;;;;;;;;;;;
Midi-Pyrénées;76;2;56;127591;0;;;;;;;;;;;;
Limousin;74;2;56;50454;0;;;;;;;;;;;;
Rhône-Alpes;84;2;56;286632;0;;;;;;;;;;;;
Auvergne;85;2;56;81495;0;;;;;;;;;;;;
Languedoc-Roussillon;77;2;56;153297;0;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;2;56;320256;0;;;;;;;;;;;;
Corse;94;2;56;17394;0;;;;;;;;;;;;
Guadeloupe;1;2;56;46650;0;;;;;;;;;;;;
Martinique;2;2;56;34448;0;;;;;;;;;;;;
Guyane;3;2;56;10204;0;;;;;;;;;;;;
Réunion;4;2;56;58109;0;;;;;;;;;;;;
Mayotte;6;2;56;3493;0;;;;;;;;;;;;
Ile-de-France;11;2;70;381493;0;;;;;;;;;;;;
Champagne-Ardenne;44;2;70;39188;0;;;;;;;;;;;;
Picardie;31;2;70;61032;0;;;;;;;;;;;;
Haute-Normandie;29;2;70;59385;0;;;;;;;;;;;;
Centre;24;2;70;84685;0;;;;;;;;;;;;
Basse-Normandie;28;2;70;47842;0;;;;;;;;;;;;
Bourgogne;26;2;70;56966;0;;;;;;;;;;;;
Nord-Pas-de-Calais;32;2;70;127399;0;;;;;;;;;;;;
Lorraine;45;2;70;78087;0;;;;;;;;;;;;
Alsace;46;2;70;103132;0;;;;;;;;;;;;
Franche-Comté;27;2;70;41225;0;;;;;;;;;;;;
Pays-de-Loire;52;2;70;148610;0;;;;;;;;;;;;
Bretagne;53;2;70;128035;0;;;;;;;;;;;;
Poitou-Charentes;75;2;70;58804;0;;;;;;;;;;;;
Aquitaine;73;2;70;120704;0;;;;;;;;;;;;
Midi-Pyrénées;76;2;70;88527;0;;;;;;;;;;;;
Limousin;74;2;70;37801;0;;;;;;;;;;;;
Rhône-Alpes;84;2;70;193803;0;;;;;;;;;;;;
Auvergne;85;2;70;52380;0;;;;;;;;;;;;
Languedoc-Roussillon;77;2;70;107286;0;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;2;70;247131;0;;;;;;;;;;;;
Corse;94;2;70;12816;0;;;;;;;;;;;;
Guadeloupe;1;2;70;33763;0;;;;;;;;;;;;
Martinique;2;2;70;26947;0;;;;;;;;;;;;
Guyane;3;2;70;3865;0;;;;;;;;;;;;
Réunion;4;2;70;37358;0;;;;;;;;;;;;
Mayotte;6;2;70;2630;0;;;;;;;;;;;;
Ile-de-France;11;2;80;255995;0;;;;;;;;;;;;
Champagne-Ardenne;44;2;80;29058;0;;;;;;;;;;;;
Picardie;31;2;80;38474;0;;;;;;;;;;;;
Haute-Normandie;29;2;80;48011;0;;;;;;;;;;;;
Centre;24;2;80;68444;0;;;;;;;;;;;;
Basse-Normandie;28;2;80;35164;0;;;;;;;;;;;;
Bourgogne;26;2;80;36365;0;;;;;;;;;;;;
Nord-Pas-de-Calais;32;2;80;100660;0;;;;;;;;;;;;
Lorraine;45;2;80;50738;0;;;;;;;;;;;;
Alsace;46;2;80;58629;0;;;;;;;;;;;;
Franche-Comté;27;2;80;23287;0;;;;;;;;;;;;
Pays-de-Loire;52;2;80;101715;0;;;;;;;;;;;;
Bretagne;53;2;80;96527;0;;;;;;;;;;;;
Poitou-Charentes;75;2;80;35111;0;;;;;;;;;;;;
Aquitaine;73;2;80;96809;0;;;;;;;;;;;;
Midi-Pyrénées;76;2;80;78011;0;;;;;;;;;;;;
Limousin;74;2;80;22253;0;;;;;;;;;;;;
Rhône-Alpes;84;2;80;103319;0;;;;;;;;;;;;
Auvergne;85;2;80;31486;0;;;;;;;;;;;;
Languedoc-Roussillon;77;2;80;79806;0;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;2;80;192124;0;;;;;;;;;;;;
Corse;94;2;80;6942;0;;;;;;;;;;;;
Guadeloupe;1;2;80;14519;0;;;;;;;;;;;;
Martinique;2;2;80;10561;0;;;;;;;;;;;;
Guyane;3;2;80;745;0;;;;;;;;;;;;
Réunion;4;2;80;19611;0;;;;;;;;;;;;
Mayotte;6;2;80;220;0;;;;;;;;;;;;
